RowNames,EQUITY,EVENT 1,E.M.,EVENT 2,HEALTH,HIGH YIELD
1993-01-29,,,-0.0147,,,
1993-02-26,,,0.0203,,,
1993-03-31,,,0.0526,,,
1993-04-30,,,0.0319,,,
1993-05-31,,,0.0629,,,
1993-06-30,,,0.0214,,,
1993-07-30,,,0.0207,,,
1993-08-31,,,0.0106,,,
1993-09-30,,,0.027,,,
1993-10-29,,,0.0738,,,
1993-11-30,,,0.0374,,,
1993-12-31,,,0.1052,,,
1994-01-31,-0.0052,0.0368,0.0489,0.0415,,
1994-02-28,0.0024,-0.0015,0.0113,0.0027,,
1994-03-31,-0.0024,-0.0129,-0.0214,-0.0042,,
1994-04-29,0.0025,-0.0066,-0.0521,-0.0104,,
1994-05-31,-0.0011,-0.0015,-0.0037,0.0009,,
1994-06-30,0.007,-0.0013,0.0051,0.008,,
1994-07-29,-0.01,0.0054,0.03,0.0222,,
1994-08-31,-0.0099,0.0082,0.0823,0.015,,
1994-09-30,-0.0094,0.0075,0.0077,0.0102,,
1994-10-31,-0.0037,-0.0073,-0.0084,-0.007,,
1994-11-30,-0.003,-0.0106,-0.0001,-0.0126,,
1994-12-30,0.0127,-0.0078,-0.0273,0.001,,
1995-01-31,0.0047,0.0051,-0.07,0.0076,,
1995-02-28,0.0094,0.0241,-0.0396,0.0145,,
1995-03-31,0.0292,0.0085,-0.0339,0.0173,,
1995-04-28,0.0227,0.021,0.0323,0.0121,,
1995-05-31,0.0041,0.0113,0.035,0.19,,
1995-06-30,0.0152,0.013,-0.0005,0.0254,,
1995-07-31,0.0055,0.0225,0.0337,0.0066,,
1995-08-31,0.0068,0.0154,-0.0023,0.0134,,
1995-09-29,-0.0057,0.0187,0.0092,0.0027,,
1995-10-31,0.0028,-0.0026,-0.0394,0.0022,,
1995-11-30,0.0029,0.0113,-0.027,0.0066,,
1995-12-29,0.0081,0.0218,0.031,-0.0047,,
1996-01-31,0.021,0.0349,0.0752,0.0294,,
1996-02-29,0.0159,0.0058,-0.0159,0.0141,,
1996-03-29,0.0165,0.0122,-0.0046,0.0153,,
1996-04-30,0.0129,0.0257,0.0327,0.011,,
1996-05-31,0.0114,0.0166,0.0227,0.0181,,
1996-06-28,0.0024,0.01,0.0146,-0.0011,,
1996-07-31,0.006,0.0024,-0.0178,0.0019,,
1996-08-30,0.0148,0.0216,0.0088,0.0137,,
1996-09-30,0.0132,0.0223,0.0238,0.0189,,
1996-10-31,0.0111,0.0139,0.0034,0.0118,,
1996-11-29,0.02,0.0254,0.0215,0.0206,,
1996-12-31,0.0095,0.0188,0.0105,0.0181,,
1997-01-31,0.0317,0.023,0.0533,0.0281,0.0325,0.0132
1997-02-28,0.0197,0.0149,0.0379,0.0128,-0.0015,0.0168
1997-03-31,-0.0115,0.0018,-0.0079,0.0012,-0.0539,-0.0065
1997-04-30,0.0121,0.0033,0.012,-0.0001,-0.0327,0.0106
1997-05-30,0.0303,0.0291,0.0398,0.0345,0.0985,0.0215
1997-06-30,0.0118,0.017,0.0486,0.028,0.0165,0.0183
1997-07-31,0.0326,0.0358,0.0441,0.0287,0.0123,0.0167
1997-08-29,-0.0092,-0.0026,-0.0087,0.015,0.0182,0.0084
1997-09-30,0.0181,0.025,0.0067,0.0361,0.0555,0.0208
1997-10-31,0.0081,0.0045,-0.0554,-0.0028,0.019,0.003
1997-11-28,-0.0038,0.0133,-0.038,0.0132,-0.0109,0.0039
1997-12-31,0.0004,0.0191,0.0089,0.013,-0.0005,0.0053
1998-01-30,0.0091,0.0173,-0.0469,0,-0.0239,0.0145
1998-02-27,0.0185,0.0256,0.0394,0.0316,0.0438,0.0052
1998-03-31,0.0197,0.0248,0.0301,0.0253,0.0353,0.013
1998-04-30,0.0029,0.0073,-0.0127,0.0085,0.0192,0.0098
1998-05-29,0.0131,-0.012,-0.1006,-0.0102,-0.034,0.0039
1998-06-30,0.0047,-0.0079,-0.0566,-0.0025,-0.0224,-0.0029
1998-07-31,-0.001,0.0004,0.0104,-0.0057,-0.0463,0.0006
1998-08-31,-0.0085,-0.1177,-0.201,-0.0809,-0.1639,-0.0684
1998-09-30,0.0095,-0.0296,-0.0508,-0.027,0.1028,-0.0225
1998-10-30,0.0248,0.0066,0.0228,0.0026,0.0621,-0.0255
1998-11-30,0.021,0.0277,0.0692,0.0199,0.0619,0.0458
1998-12-31,0.0124,0.017,-0.0238,0.0178,0.081,-0.0065
1999-01-29,0.0069,0.0188,-0.0086,0.0224,0.055,0.0158
1999-02-26,0.0061,-0.0005,0.008,-0.0008,-0.0198,0.0014
1999-03-31,0.0135,0.0239,0.008,0.0307,0.0231,0.0153
1999-04-30,0.0202,0.0307,0.0996,0.0666,-0.0068,0.0408
1999-05-31,0.0144,0.0217,-0.0034,0.028,0.0279,-0.0079
1999-06-30,0.0192,0.0293,0.0856,0.0317,0.0446,-0.0006
1999-07-30,0.0166,0.0132,-0.0124,0.0051,0.0627,0.0003
1999-08-31,0.0111,0.0011,-0.0187,-0.0071,0.055,-0.0023
1999-09-30,0.0022,0.0104,-0.0082,0.0048,0.0244,-0.0055
1999-10-29,0.0082,0.0035,0.0246,0.0056,-0.0081,-0.0016
1999-11-30,0.0156,0.0204,0.0696,0.0208,0.0782,0.0131
1999-12-31,0.0096,0.0309,0.1251,0.0143,0.2162,0.0126
2000-01-31,0.0142,0.0051,0.0013,0.0199,0.1205,0.0294
2000-02-29,0.0079,0.023,0.052,0.0342,0.3588,0.0214
2000-03-31,0.0224,0.006,0.0102,0.0197,-0.1691,-0.0167
2000-04-28,0.0144,-0.0073,-0.0723,0.0013,-0.0495,-0.0171
2000-05-31,0.0146,0.0002,-0.0396,-0.0113,-0.0141,-0.0154
2000-06-30,0.0182,0.0194,0.035,0.0205,0.1469,0.0178
2000-07-31,0.0123,0.005,-0.0136,0.0092,0.0069,-0.0062
2000-08-31,0.0143,0.0171,0.0288,0.0201,0.1199,0.0049
2000-09-29,-0.0014,0.0061,-0.0437,0.0038,0.0473,-0.0223
2000-10-31,0.0081,-0.0005,-0.0277,-0.0011,0.0067,-0.035
2000-11-30,0.0028,-0.0077,-0.0235,-0.0141,-0.0452,-0.0305
2000-12-29,0.0128,0.0042,0.0027,0.0025,0.0545,-0.0325
2001-01-31,0.0213,0.0246,0.0509,0.0256,-0.0319,0.0557
2001-02-28,0.0089,0.0159,-0.0125,0.0114,-0.0365,0.0246
2001-03-30,0.0092,0.0012,-0.0219,-0.0005,-0.0576,-0.0076
